surface,operation,name,handler,file,line,schema
REST/WS,POST,/bhm/policy/profile,bhm_policy_profile_set,src/blackholememory/app.py,15775,default
REST/WS,POST,/bhm/policy/enforce-memory,bhm_policy_enforce_memory,src/blackholememory/app.py,15780,default
REST/WS,POST,/bhm/overlap/report,bhm_overlap_report,src/blackholememory/app.py,15785,default
REST/WS,POST,/bhm/overlap/cleanup-apply,bhm_overlap_cleanup_apply,src/blackholememory/app.py,15790,default
REST/WS,POST,/bhm/policy-guard,bhm_policy_guard,src/blackholememory/app.py,15795,default
REST/WS,POST,/bhm/reflect,bhm_reflect,src/blackholememory/app.py,15800,default
REST/WS,POST,/bhm/insights/search,bhm_insights_search,src/blackholememory/app.py,15805,default
REST/WS,GET,/bhm/lessons,bhm_lessons_list,src/blackholememory/app.py,15822,default
REST/WS,POST,/bhm/lessons/strengthen,bhm_lessons_strengthen,src/blackholememory/app.py,15827,default
REST/WS,POST,/bhm/verify,bhm_verify,src/blackholememory/app.py,15832,default
REST/WS,GET,/bhm/memory/links,bhm_memory_links_get,src/blackholememory/app.py,15837,default
REST/WS,POST,/bhm/memory/link,bhm_memory_link_create,src/blackholememory/app.py,15843,default
REST/WS,DELETE,/bhm/memory/link,bhm_memory_link_delete,src/blackholememory/app.py,15849,default
REST/WS,GET,/bhm/profile,bhm_profile,src/blackholememory/app.py,15855,default
REST/WS,POST,/bhm/diagnostics,bhm_diagnostics,src/blackholememory/app.py,15915,default
REST/WS,GET,/bhm/insights,bhm_insights,src/blackholememory/app.py,15925,default
REST/WS,POST,/bhm/remember,bhm_remember,src/blackholememory/app.py,15998,default
REST/WS,POST,/bhm/lessons,bhm_lessons_create,src/blackholememory/app.py,16013,default
REST/WS,POST,/bhm/lessons/search,bhm_lessons_search,src/blackholememory/app.py,16034,default
REST/WS,POST,/bhm/observe,bhm_observe,src/blackholememory/app.py,16048,default
REST/WS,GET,/bhm/observations/store/status,bhm_observation_store_status,src/blackholememory/app.py,16063,default
REST/WS,GET,/bhm/retention/status,bhm_retention_status,src/blackholememory/app.py,16069,default
REST/WS,GET,/bhm/slots,bhm_slots,src/blackholememory/app.py,16101,default
REST/WS,GET,/bhm/slot,bhm_slot,src/blackholememory/app.py,16107,default
REST/WS,POST,/bhm/slot,bhm_slot_create,src/blackholememory/app.py,16113,default
REST/WS,POST,/bhm/slot/append,bhm_slot_append,src/blackholememory/app.py,16135,default
REST/WS,POST,/bhm/slot/replace,bhm_slot_replace,src/blackholememory/app.py,16161,default
REST/WS,DELETE,/bhm/slot,bhm_slot_delete,src/blackholememory/app.py,16186,default
REST/WS,POST,/bhm/slot/reflect,bhm_slot_reflect,src/blackholememory/app.py,16197,default
REST/WS,GET,/openapi-public.json,openapi_public,src/blackholememory/app.py,16230,false
REST/WS,GET,/openapi-admin.json,openapi_admin,src/blackholememory/app.py,16235,false
MCP_STATIC,TOOL,bhm_shared_memory_policy_preflight,bhm_shared_memory_policy_preflight,src/blackholememory/bhm_mcp.py,1969,n/a
REST/WS,POST,/bhm/shared-memory/policy/evaluate,bhm_shared_memory_policy_evaluate,src/blackholememory/app.py,18658,default
